candidate_id,age,years_of_experience,job_role,education,interview_platform,communication_score,vocabulary_richness,filler_words_per_min,confidence_score,eye_contact_score,posture,stress_level,avg_response_time,interview_duration,sentiment_score,performance_score,hiring_decision
CAND_BBC7EB,42,22,Marketing Analyst,Master's,Teams,63.22,0.681,7,81.75,95.14,Neutral,22.36,4.11,39,0.318,71.88,Hired
CAND_2A7EFC,29,3,Data Scientist,Associate,Zoom,48.76,0.417,8,100.0,100.0,Confident,11.76,3.95,30,0.234,57.47,Rejected
CAND_6399DE,24,3,Software Engineer,Master's,HireVue,124.29,0.74,1,84.32,80.92,Confident,26.15,4.72,33,0.332,71.51,Rejected
CAND_FC91E1,29,11,Software Engineer,Master's,HireVue,39.56,0.723,9,93.82,100.0,Confident,23.78,4.47,54,0.456,61.64,Rejected
CAND_865C30,32,10,Business Analyst,Bachelor's,Zoom,50.12,0.565,11,100.0,91.08,Confident,10.97,4.21,44,0.116,58.01,Rejected
CAND_AA48B2,22,0,Business Analyst,PhD,Zoom,62.61,0.524,5,91.01,69.07,Confident,46.21,5.35,47,0.316,75.51,Second Round
CAND_CA2201,34,12,HR Manager,Bachelor's,Google Meet,43.03,0.652,12,85.26,100.0,Confident,17.65,4.77,35,0.559,57.6,Rejected
CAND_64C613,22,0,Business Analyst,Master's,Zoom,76.01,0.651,9,100.0,85.98,Confident,14.3,4.18,36,0.286,74.41,Rejected
CAND_730FEC,30,4,Marketing Analyst,Bachelor's,Teams,48.94,0.684,12,82.59,81.99,Confident,23.42,10.54,50,0.224,57.25,Rejected
CAND_F96A1C,48,20,Marketing Analyst,Associate,Google Meet,65.83,,4,100.0,99.89,Confident,12.64,5.65,58,0.812,79.21,Second Round
CAND_FF6B9D,23,5,Marketing Analyst,Bachelor's,Teams,54.23,0.552,13,100.0,89.65,Confident,19.7,4.43,25,0.453,60.34,Rejected
CAND_70F212,28,6,Product Manager,Associate,HireVue,63.33,0.619,10,99.31,85.66,Confident,7.53,4.41,48,0.556,68.81,Hired
CAND_CF2F95,29,7,UX Designer,PhD,Zoom,72.89,,12,97.63,100.0,Confident,9.9,3.79,57,0.446,70.28,Rejected
CAND_3A47C4,27,7,Business Analyst,Associate,Google Meet,63.74,0.804,6,84.59,65.19,Confident,16.55,5.42,53,0.21,68.53,Hired
CAND_EBCD4D,29,8,Business Analyst,Master's,HireVue,76.98,0.54,4,100.0,,Confident,29.92,5.22,40,0.514,93.18,Hired
CAND_E6BB97,28,1,Sales Executive,Master's,Google Meet,57.88,0.328,15,99.16,94.52,Confident,,4.02,47,0.485,68.8,Rejected
CAND_006259,42,20,Marketing Analyst,Associate,HireVue,43.49,0.36,12,100.0,75.1,Confident,16.87,6.13,46,0.712,66.1,Rejected
CAND_9F5BE1,41,21,Sales Executive,Bachelor's,Zoom,47.89,0.549,11,100.0,93.6,Neutral,7.96,4.85,54,0.677,65.28,Hired
CAND_BDFDB8,29,6,Product Manager,Associate,Zoom,46.29,0.673,9,94.97,77.83,Confident,14.45,3.98,30,0.911,61.49,Rejected
CAND_C7F1DF,36,12,Sales Executive,PhD,Zoom,77.58,0.687,7,94.58,85.61,Confident,14.82,4.28,60,0.67,70.37,Rejected
CAND_EBEAA7,31,11,Marketing Analyst,PhD,Zoom,71.53,0.698,7,87.93,48.85,Confident,14.36,4.28,41,0.779,73.53,Hired
CAND_F23461,20,0,Sales Executive,Bachelor's,Google Meet,66.84,0.587,11,63.29,51.74,Neutral,21.81,5.08,33,0.556,69.15,Hired
CAND_7FF0F3,24,9,Data Scientist,PhD,Teams,70.39,0.445,9,100.0,79.3,Confident,7.76,3.74,50,0.476,95.4,Hired
CAND_961D17,38,13,Software Engineer,PhD,HireVue,27.84,0.602,18,99.95,74.04,Confident,8.83,4.27,36,0.678,47.43,Rejected
CAND_442EDA,42,21,Marketing Analyst,Master's,Zoom,20.12,0.724,17,97.23,80.03,Confident,12.13,4.73,58,0.757,59.79,Rejected
CAND_3A6113,31,16,Data Scientist,Bachelor's,HireVue,39.79,0.607,12,100.0,94.5,Confident,11.44,5.64,46,0.543,56.55,Rejected
CAND_6DE2C1,38,14,Product Manager,Master's,HireVue,55.86,0.252,9,74.41,81.44,Slouched,39.49,5.77,37,0.661,57.66,Rejected
CAND_8C03D6,50,24,Marketing Analyst,Associate,Teams,67.34,0.201,8,100.0,100.0,Confident,7.64,3.45,39,0.278,76.9,Hired
CAND_BDA660,21,0,UX Designer,PhD,HireVue,43.09,0.554,7,72.0,76.77,Neutral,29.2,5.65,37,0.565,44.14,Rejected
CAND_880994,25,4,Sales Executive,Associate,Zoom,37.94,0.765,10,81.28,53.43,Confident,8.67,3.85,45,0.562,52.23,Rejected
CAND_B89A71,38,17,Software Engineer,Master's,Teams,67.18,0.747,7,82.49,77.01,Neutral,29.31,4.46,35,0.604,63.74,On Hold
CAND_C4406C,25,3,Data Scientist,Bachelor's,Google Meet,20.06,0.586,11,100.0,78.71,Confident,20.55,4.28,51,0.493,52.74,On Hold
CAND_C449DB,33,12,Sales Executive,Master's,Teams,84.91,0.762,7,100.0,94.89,Confident,10.91,4.74,44,0.586,94.47,Hired
CAND_E97A45,31,7,Sales Executive,Master's,HireVue,,0.466,8,97.03,100.0,Confident,19.59,3.77,54,0.643,75.23,Rejected
CAND_1DDF12,20,0,Data Scientist,Bachelor's,HireVue,61.04,0.702,13,100.0,80.68,Confident,18.65,4.16,40,0.186,74.61,Hired
CAND_8AF45D,48,28,Sales Executive,Bachelor's,Zoom,65.52,0.625,11,84.19,63.03,Confident,29.58,4.57,20,0.677,69.13,Second Round
CAND_671FD2,37,16,Business Analyst,Bachelor's,Teams,69.04,0.707,10,100.0,96.64,Confident,3.18,4.55,46,0.741,78.86,Rejected
CAND_11F46D,29,7,Product Manager,Associate,Teams,41.22,0.628,13,81.83,75.61,Neutral,21.66,4.05,39,0.715,52.53,Rejected
CAND_733860,21,1,Data Scientist,Associate,Zoom,73.93,0.515,9,100.0,85.66,Confident,12.24,5.17,44,0.491,89.38,Hired
